DATE,Value
01-01-1992,72.5052
02-01-1992,70.672
03-01-1992,62.4502
04-01-1992,57.4714
05-01-1992,55.3151
06-01-1992,58.0904
07-01-1992,62.6202
08-01-1992,63.2485
09-01-1992,60.5846
10-01-1992,56.3154
11-01-1992,58.0005
12-01-1992,68.7145
01-01-1993,73.3057
02-01-1993,67.9869
03-01-1993,62.2221
04-01-1993,57.0329
05-01-1993,55.8137
06-01-1993,59.9005
07-01-1993,65.7655
08-01-1993,64.4816
09-01-1993,61.0005
10-01-1993,57.5322
11-01-1993,59.3417
12-01-1993,68.1354
01-01-1994,73.8152
02-01-1994,70.062
03-01-1994,65.61
04-01-1994,60.1586
05-01-1994,58.8734
06-01-1994,63.8918
07-01-1994,68.8694
08-01-1994,70.0669
09-01-1994,64.1151
10-01-1994,60.3789
11-01-1994,62.4643
12-01-1994,70.5777
01-01-1995,79.8703
02-01-1995,76.1622
03-01-1995,70.2928
04-01-1995,63.2384
05-01-1995,61.4065
06-01-1995,67.1097
07-01-1995,72.9816
08-01-1995,75.7655
09-01-1995,67.5152
10-01-1995,63.2832
11-01-1995,65.1078
12-01-1995,73.8631
01-01-1996,77.9188
02-01-1996,76.6822
03-01-1996,73.3523
04-01-1996,65.1081
05-01-1996,63.6892
06-01-1996,68.4722
07-01-1996,74.0301
08-01-1996,75.0448
09-01-1996,69.3053
10-01-1996,65.8735
11-01-1996,69.0706
12-01-1996,84.1949
01-01-1997,84.3598
02-01-1997,77.1726
03-01-1997,73.1964
04-01-1997,67.2781
05-01-1997,65.8218
06-01-1997,71.4654
07-01-1997,76.614
08-01-1997,77.1052
09-01-1997,73.061
10-01-1997,67.4365
11-01-1997,68.5665
12-01-1997,77.6839
01-01-1998,86.0214
02-01-1998,77.5573
03-01-1998,73.365
04-01-1998,67.15
05-01-1998,68.8162
06-01-1998,74.8448
07-01-1998,80.0928
08-01-1998,79.1606
09-01-1998,73.5743
10-01-1998,68.7538
11-01-1998,72.5166
12-01-1998,79.4894
01-01-1999,85.2855
02-01-1999,80.1643
03-01-1999,74.5275
04-01-1999,69.6441
05-01-1999,67.1784
06-01-1999,71.2078
07-01-1999,77.5081
08-01-1999,76.5374
09-01-1999,72.3541
10-01-1999,69.0286
11-01-1999,73.4992
12-01-1999,84.5159
01-01-2000,87.9464
02-01-2000,84.5561
03-01-2000,79.4747
04-01-2000,71.0578
05-01-2000,67.6762
06-01-2000,74.3297
07-01-2000,82.1048
08-01-2000,82.0605
09-01-2000,74.6031
10-01-2000,69.681
11-01-2000,74.4292
12-01-2000,84.2284
01-01-2001,94.1386
02-01-2001,87.1607
03-01-2001,79.2456
04-01-2001,70.9749
05-01-2001,69.3844
06-01-2001,77.9831
07-01-2001,83.277
08-01-2001,81.8872
09-01-2001,75.6826
10-01-2001,71.2661
11-01-2001,75.2458
12-01-2001,84.8147
01-01-2002,92.4532
02-01-2002,87.4033
03-01-2002,81.2661
04-01-2002,73.8167
05-01-2002,73.2682
06-01-2002,78.3026
07-01-2002,85.9841
08-01-2002,89.5467
09-01-2002,78.5035
10-01-2002,73.7066
11-01-2002,79.6543
12-01-2002,90.8251
01-01-2003,98.9732
02-01-2003,92.8883
03-01-2003,86.9356
04-01-2003,77.2214
05-01-2003,76.6826
06-01-2003,81.9306
07-01-2003,85.9606
08-01-2003,86.5562
09-01-2003,79.1919
10-01-2003,74.6891
11-01-2003,81.074
12-01-2003,90.4855
01-01-2004,98.4613
02-01-2004,89.7795
03-01-2004,83.0125
04-01-2004,76.1476
05-01-2004,73.8471
06-01-2004,79.7645
07-01-2004,88.4519
08-01-2004,87.7828
09-01-2004,81.9386
10-01-2004,77.5027
11-01-2004,82.0448
12-01-2004,92.101
01-01-2005,94.792
02-01-2005,87.82
03-01-2005,86.5549
04-01-2005,76.7521
05-01-2005,78.0303
06-01-2005,86.4579
